"Gene" "gene_type" 
"Rv0991c" FALSE
"Rv0992c" FALSE
"Rv0993" FALSE
"Rv0994" FALSE
"Rv0995" FALSE
"Rv0996" FALSE
"Rv0997" FALSE
"Rv0998" FALSE
"Rv0999" FALSE
"Rv1000c" FALSE
"Rv1001" FALSE
"Rv1003" FALSE
"Rv1004c" FALSE
"Rv1005c" FALSE
"Rv1006" FALSE
"Rv1008" FALSE
"Rv1009" FALSE
"Rv1010" FALSE
"Rv1012" FALSE
"Rv1013" FALSE
"Rv1014c" FALSE
"Rv1015c" FALSE
"Rv1016c" FALSE
"Rv1017c" FALSE
"Rv1018c" FALSE
"Rv1019" FALSE
"Rv1020" FALSE
"Rv1021" FALSE
"Rv1022" FALSE
"Rv1023" FALSE
"Rv1026" FALSE
"Rv1027c" FALSE
"Rv1028A" FALSE
"Rv1028c" FALSE
"Rv1029" FALSE
"Rv1030" FALSE
"Rv1031" FALSE
"Rv1032c" FALSE
"Rv1033c" FALSE
"Rv1034c" FALSE
"Rv1035c" FALSE
"Rv1036c" FALSE
"Rv1037c" FALSE
"Rv1038c" FALSE
"Rv1039c" FALSE
"Rv1040c" FALSE
"Rv1041c" FALSE
"Rv1042c" FALSE
"Rv1043c" FALSE
"Rv1044" FALSE
"Rv1045" FALSE
"Rv1046c" FALSE
"Rv1047" FALSE
"Rv1048c" FALSE
"Rv1049" FALSE
"Rv1050" FALSE
"Rv1051c" FALSE
"Rv1052" FALSE
"Rv1053c" FALSE
"Rv1054" FALSE
"Rv1055" FALSE
"Rv1056" FALSE
"Rv1057" FALSE
"Rv1058" FALSE
"Rv1059" FALSE
"Rv1060" FALSE
"Rv1061" FALSE
"Rv1062" FALSE
"Rv1063c" FALSE
"Rv1064c" FALSE
"Rv1065" FALSE
"Rv1066" FALSE
"Rv1067c" FALSE
"Rv1068c" FALSE
"Rv1069c" FALSE
"Rv1070c" FALSE
"Rv1071c" FALSE
"Rv1072" FALSE
"Rv1073" FALSE
"Rv1074c" FALSE
"Rv1075c" FALSE
"Rv1076" FALSE
"Rv1077" FALSE
"Rv1078" FALSE
"Rv1079" FALSE
